n,listLength,G,delta,alpha,recall,precision,F value,MAE,备注
100,50,1.6,1000,0,11.4269%,4.34041%,6.29118%,0,融合算法
100,50,1.6,1000,0,11.1180%,4.24174%,6.14070%,0,TRT
100,50,1.6,1000,0,9.91573%,3.76640%,5.45918%,0,CFU
200,50,1.6,1000,0,11.2138%,4.27828%,6.19359%,0,TRT
200,60,1.6,1000,0,12.8700%,4.09177%,6.20939%,0,TRT
100,50,1.6,1000,0.28,11.3696%,4.33770%,6.27962%,0,SVD a=0.28
100,50,1.6,1000,0.4,11.5253%,4.39712%,6.36564%,0,SVD a=0.4融合
100,50,1.6,1000,0.6,11.8397%,4.51706%,6.53928%,0,a=0.6
100,50,1.6,1000,0.7,12.6378%,4.82155%,6.98008%,0,a=0.7
100,50,1.6,1000,0.9,13.1776%,5.02749%,7.27822%,0,
100,50,1.6,1000,1.0,13.6023%,5.18951%,7.51278%,0,
200,50,1.6,1000,0.9,12.7423%,4.86141%,7.03779%,0,
200,50,1.6,1000,0,11.2138%,4.27828%,6.19359%,0,
200,50,1.6,1000,0,10.7872%,4.11551%,5.95797%,0,-2到2
200,50,1.6,500,0,11.2129%,4.27791%,6.19306%,0,"log(T - self.userQualityDict[userId] * config.beta, e)"
200,50,1.6,500,0,11.2138%,4.27828%,6.19359%,0,无time hot
200,50,1.6,500,0,11.1674%,4.26056%,6.16795%,0,T - self.userQualityDict[userId] * config.beta
200,50,1.6,500,0,13.6023%,24.5606%,17.5081%,0,"不删除元数据,不评价没有的用户,SVD"
200,50,1.6,500,0,11.2138%,20.2480%,14.4338%,0,"不删除元数据,不评价没有的用户,TRT,no timehot"
200,50,1.6,500,0,11.2129%,20.2462%,14.4326%,0,"不删除元数据,不评价没有的用户,TRT,timehot"
200,50,1.6,500,0,11.4160%,20.6131%,14.6941%,0,"删除元数据,TRT,time hot,log(T - self.userQualityDict[userId] * config.beta, e)"
200,50,1.6,500,0,11.4150%,20.6113%,14.6928%,0,"删除元数据,TRT,非time hot"
200,50,1.6,500,0,11.4170%,20.6148%,14.6953%,0,"删除元数据,TRT,pow(T, G)"
200,50,1.6,500,0,11.4141%,20.6096%,14.6916%,0,"删除元数据,TRT,pow(T + delta, G)"
200,50,1.6,500,0,11.2537%,20.3430%,14.4910%,0,"删除元数据,CFU"
200,50,1.6,500,0.5,11.5466%,20.8724%,14.8681%,0,"删除元数据,TRT,CFU融合"
